Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
ARC,2015,1,0,0,1,0,0,0,0,1
ARC,2050,1,0,0,1,0,0,0,0,1
