Year,ComSvcAutoPropIcev,ComSvcAutoPropHev,ComSvcAutoPropBev,ComSvcLtTrkPropIcev,ComSvcLtTrkPropHev,ComSvcLtTrkPropBev
2015,0.9016,0.0972,0.0012,0.96,0.04,0
2050,0.3956,0.561,0.0434,0.5088,0.4788,0.0124
