Geo,Year,UrbanArea,TownArea,RuralArea
D153,2050,24928.14515,0,44202.73681
D163,2050,24676.52524,0,94454.48286
D164,2050,0,0,59523.97756
D171,2050,12061.18861,0,52342.90577
D172,2050,0,0,61401.31599
D173,2050,43176.15385,0,32178.00033
D181,2050,8956.260221,0,49806.62657
D182,2050,6869.121842,0,62080.93883
D191,2050,9583.773299,0,64597.45251
D192,2050,6341.903077,0,130643.3708
