Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
2015,90.38,90.38,90.38,NA,NA,NA,NA
2050,72.3,72.3,72.3,NA,NA,NA,NA
