Geo,Year,FwyNoneCongChg.2015,FwyModCongChg.2015,FwyHvyCongChg.2015,FwySevCongChg.2015,FwyExtCongChg.2015,ArtNoneCongChg.2015,ArtModCongChg.2015,ArtHvyCongChg.2015,ArtSevCongChg.2015,ArtExtCongChg.2015
ARC,2015,0,0,0,0,0,0,0,0,0,0
ARC,2050,0,0,0,0,0,0,0,0,0,0
