Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
ARC,2015,0,0,30230000,0,0,0,212693800,0
ARC,2050,0,0,132257996,0,0,0,450759124,0
